organic,organic_molarity,solvent,solvent_molarity,inorganic_molarity,acid_molarity,alpha_vial_volume,beta_vial_volume,reaction_time,reaction_temperature,crystal_score,objective,default_features,procedure
Ethylammonium Iodide,1.2709520492981412,Gamma-Butyrolactone,7.309561752905978,0.1638667616424726,8.449648700853194,0.000734,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.2709520492981412, 7.309561752905978, 0.1638667616424726, 8.449648700853194, 0.000734, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.2709520492981412 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.309561752905978 M
    - Inorganic molarity: 0.1638667616424726 M
    - Acid molarity: 8.449648700853194 M
    - Volume in alpha vial: 0.000734 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.4193854071634755,Gamma-Butyrolactone,6.767704490082752,0.4430450207813201,8.668347549099728,0.000743,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4193854071634755, 6.767704490082752, 0.4430450207813201, 8.668347549099728, 0.000743, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.4193854071634755 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.767704490082752 M
    - Inorganic molarity: 0.4430450207813201 M
    - Acid molarity: 8.668347549099728 M
    - Volume in alpha vial: 0.000743 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,0.4686808966918744,Gamma-Butyrolactone,8.327803873469595,0.1088451124353642,8.275806012525171,0.000727,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.4686808966918744, 8.327803873469595, 0.1088451124353642, 8.275806012525171, 0.000727, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 0.4686808966918744 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 8.327803873469595 M
    - Inorganic molarity: 0.1088451124353642 M
    - Acid molarity: 8.275806012525171 M
    - Volume in alpha vial: 0.000727 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.3489012734859045,Gamma-Butyrolactone,7.458992996255892,0.645455785177492,7.015884781025162,0.00068,0.001,6.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.3489012734859045, 7.458992996255892, 0.645455785177492, 7.015884781025162, 0.00068, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.3489012734859045 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 7.458992996255892 M
    - Inorganic molarity: 0.645455785177492 M
    - Acid molarity: 7.015884781025162 M
    - Volume in alpha vial: 0.00068 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Ethylammonium Iodide,1.97890642834661,Gamma-Butyrolactone,6.921159485329446,0.1134165045219941,7.760144128375781,0.000707,0.001,6.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.97890642834661, 6.921159485329446, 0.1134165045219941, 7.760144128375781, 0.000707, 0.001, 21600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Ethylammonium Iodide
    - Molarity of organic compound: 1.97890642834661 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.921159485329446 M
    - Inorganic molarity: 0.1134165045219941 M
    - Acid molarity: 7.760144128375781 M
    - Volume in alpha vial: 0.000707 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 6.0 hours
    - Reaction temperature: 85.0 °C
    "
Phenethylammonium iodide,0.5874667372982784,Gamma-Butyrolactone,9.943452487482825,1.0678778198267938,1.749293938735607,0.0005,0.001,16.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.5874667372982784, 9.943452487482825, 1.0678778198267938, 1.749293938735607, 0.0005, 0.001, 57600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Phenethylammonium iodide
    - Molarity of organic compound: 0.5874667372982784 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 9.943452487482825 M
    - Inorganic molarity: 1.0678778198267938 M
    - Acid molarity: 1.749293938735607 M
    - Volume in alpha vial: 0.0005 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 16.0 hours
    - Reaction temperature: 85.0 °C
    "
Phenethylammonium iodide,0.650435406940344,Gamma-Butyrolactone,10.187478159681609,1.2231559721995673,0.6891157940473602,0.0005,0.001,16.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.650435406940344, 10.187478159681609, 1.2231559721995673, 0.6891157940473602, 0.0005, 0.001, 57600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Phenethylammonium iodide
    - Molarity of organic compound: 0.650435406940344 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 10.187478159681609 M
    - Inorganic molarity: 1.2231559721995673 M
    - Acid molarity: 0.6891157940473602 M
    - Volume in alpha vial: 0.0005 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 16.0 hours
    - Reaction temperature: 85.0 °C
    "
Phenethylammonium iodide,0.6941402701583598,Gamma-Butyrolactone,10.275914447721814,1.3103296717772648,0.159026721703237,0.0005,0.001,16.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.6941402701583598, 10.275914447721814, 1.3103296717772648, 0.159026721703237, 0.0005, 0.001, 57600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Phenethylammonium iodide
    - Molarity of organic compound: 0.6941402701583598 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 10.275914447721814 M
    - Inorganic molarity: 1.3103296717772648 M
    - Acid molarity: 0.159026721703237 M
    - Volume in alpha vial: 0.0005 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 16.0 hours
    - Reaction temperature: 85.0 °C
    "
Phenethylammonium iodide,0.3746622825320518,Gamma-Butyrolactone,6.300510973225856,0.4603861008947146,11.237888333695414,0.0005,0.001,16.0,85.0,large_crystallites,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.3746622825320518, 6.300510973225856, 0.4603861008947146, 11.237888333695414, 0.0005, 0.001, 57600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Phenethylammonium iodide
    - Molarity of organic compound: 0.3746622825320518 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 6.300510973225856 M
    - Inorganic molarity: 0.4603861008947146 M
    - Acid molarity: 11.237888333695414 M
    - Volume in alpha vial: 0.0005 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 16.0 hours
    - Reaction temperature: 85.0 °C
    "
Phenethylammonium iodide,0.8043500238097466,Gamma-Butyrolactone,10.37359632499458,1.0651536417149907,0.0,0.0005,0.001,16.0,85.0,clear_solution,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.8043500238097466, 10.37359632499458, 1.0651536417149907, 0.0, 0.0005, 0.001, 57600.0, 85.0]","
    Vapor Diffusion Crystallization Setup:
    - Organic compound used: Phenethylammonium iodide
    - Molarity of organic compound: 0.8043500238097466 M
    - Solvent type: Gamma-Butyrolactone
    - Solvent molarity: 10.37359632499458 M
    - Inorganic molarity: 1.0651536417149907 M
    - Acid molarity: 0.0 M
    - Volume in alpha vial: 0.0005 ml
    - Volume in beta vial: 0.001 ml
    - Reaction time: 16.0 hours
    - Reaction temperature: 85.0 °C
    "
