Reactant_1_Name,Reactant_2_Name,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV
6-chloroquinoline,Boronic Acid,None,NaOH,THF,19.9964908124804
6-chloroquinoline,Boronic Acid,P(tBu)3,NaHCO3,THF,66.7358043675789
6-chloroquinoline,Boronic Acid,P(Ph)3,NaHCO3,THF,8.11170620285451
6-chloroquinoline,Boronic Acid,AmPhos,NaHCO3,THF,57.4844178119219
6-chloroquinoline,Boronic Acid,P(Cy)3,NaHCO3,THF,61.8864221022104
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaHCO3,THF,2.22984552488196
6-chloroquinoline,Boronic Acid,CataCXium A,NaHCO3,THF,70.4548780030343
6-chloroquinoline,Boronic Acid,SPhos,NaHCO3,THF,79.8467095458273
6-chloroquinoline,Boronic Acid,dtbpf,NaHCO3,THF,9.59942646989435
6-chloroquinoline,Boronic Acid,XPhos,NaHCO3,THF,80.76770744439
6-chloroquinoline,Boronic Acid,dppf,NaHCO3,THF,19.2431786290427
6-chloroquinoline,Boronic Acid,Xantphos,NaHCO3,THF,5.19691979065473
6-chloroquinoline,Boronic Acid,None,NaHCO3,THF,8.33159713932573
6-chloroquinoline,Boronic Acid,P(tBu)3,CsF,THF,39.1692242242229
6-chloroquinoline,Boronic Acid,P(Ph)3,CsF,THF,7.24196612769955
6-chloroquinoline,Boronic Acid,AmPhos,CsF,THF,44.9830827378729
6-chloroquinoline,Boronic Acid,P(Cy)3,CsF,THF,50.9504664551199
6-chloroquinoline,Boronic Acid,P(o-Tol)3,CsF,THF,2.22798897357048
6-chloroquinoline,Boronic Acid,CataCXium A,CsF,THF,61.2922927162518
6-chloroquinoline,Boronic Acid,SPhos,CsF,THF,60.8255886967309
6-chloroquinoline,Boronic Acid,dtbpf,CsF,THF,9.94355662711232
6-chloroquinoline,Boronic Acid,XPhos,CsF,THF,53.5151293766415
6-chloroquinoline,Boronic Acid,dppf,CsF,THF,18.1815583251708
6-chloroquinoline,Boronic Acid,Xantphos,CsF,THF,3.68200738399539
6-chloroquinoline,Boronic Acid,None,CsF,THF,8.41663218738277
6-chloroquinoline,Boronic Acid,P(tBu)3,K3PO4,THF,41.2342188004141
6-chloroquinoline,Boronic Acid,P(Ph)3,K3PO4,THF,6.65750525584473
6-chloroquinoline,Boronic Acid,AmPhos,K3PO4,THF,33.0190433761406
6-chloroquinoline,Boronic Acid,P(Cy)3,K3PO4,THF,50.0570187984233
6-chloroquinoline,Boronic Acid,P(o-Tol)3,K3PO4,THF,2.67563431152105
6-chloroquinoline,Boronic Acid,CataCXium A,K3PO4,THF,55.8517248007788
6-chloroquinoline,Boronic Acid,SPhos,K3PO4,THF,47.9422368676178
6-chloroquinoline,Boronic Acid,dtbpf,K3PO4,THF,9.3691441148368
6-chloroquinoline,Boronic Acid,XPhos,K3PO4,THF,52.3254982462699
6-chloroquinoline,Boronic Acid,dppf,K3PO4,THF,20.1771290379512
6-chloroquinoline,Boronic Acid,Xantphos,K3PO4,THF,4.24818416198782
6-chloroquinoline,Boronic Acid,None,K3PO4,THF,7.97581747645899
6-chloroquinoline,Boronic Acid,P(tBu)3,KOH,THF,48.5611407266501
6-chloroquinoline,Boronic Acid,P(Ph)3,KOH,THF,7.7717477094714
6-chloroquinoline,Boronic Acid,AmPhos,KOH,THF,42.7329765527711
6-chloroquinoline,Boronic Acid,P(Cy)3,KOH,THF,55.0785260954863
6-chloroquinoline,Boronic Acid,P(o-Tol)3,KOH,THF,3.03273678853182
6-chloroquinoline,Boronic Acid,CataCXium A,KOH,THF,62.3266043134165
6-chloroquinoline,Boronic Acid,SPhos,KOH,THF,73.3055406932652
6-chloroquinoline,Boronic Acid,dtbpf,KOH,THF,12.3022393545058
6-chloroquinoline,Boronic Acid,XPhos,KOH,THF,72.0008032847844
6-chloroquinoline,Boronic Acid,dppf,KOH,THF,26.1379482896069
6-chloroquinoline,Boronic Acid,Xantphos,KOH,THF,4.54255057271249
6-chloroquinoline,Boronic Acid,None,KOH,THF,17.8334601652192
6-chloroquinoline,Boronic Acid,P(tBu)3,LiOtBu,THF,66.1567482939123
6-chloroquinoline,Boronic Acid,P(Ph)3,LiOtBu,THF,9.91938795360429
6-chloroquinoline,Boronic Acid,AmPhos,LiOtBu,THF,58.5147171501637
6-chloroquinoline,Boronic Acid,P(Cy)3,LiOtBu,THF,78.151358455536
6-chloroquinoline,Boronic Acid,P(o-Tol)3,LiOtBu,THF,5.12136157916158
6-chloroquinoline,Boronic Acid,CataCXium A,LiOtBu,THF,62.0179115853534
6-chloroquinoline,Boronic Acid,SPhos,LiOtBu,THF,85.9474312367647
6-chloroquinoline,Boronic Acid,dtbpf,LiOtBu,THF,13.9143476624983
6-chloroquinoline,Boronic Acid,XPhos,LiOtBu,THF,85.2124687491059
6-chloroquinoline,Boronic Acid,dppf,LiOtBu,THF,26.8267891505492
6-chloroquinoline,Boronic Acid,Xantphos,LiOtBu,THF,0.0
6-chloroquinoline,Boronic Acid,None,LiOtBu,THF,35.3664697718892
6-chloroquinoline,Boronic Acid,P(tBu)3,Et3N,THF,68.7222976760338
6-chloroquinoline,Boronic Acid,P(Ph)3,Et3N,THF,10.1595027610281
6-chloroquinoline,Boronic Acid,AmPhos,Et3N,THF,48.8032043067135
6-chloroquinoline,Boronic Acid,P(Cy)3,Et3N,THF,82.6474738914186
6-chloroquinoline,Boronic Acid,P(o-Tol)3,Et3N,THF,5.9704378754713
6-chloroquinoline,Boronic Acid,CataCXium A,Et3N,THF,80.7441453073069
6-chloroquinoline,Boronic Acid,SPhos,Et3N,THF,87.8200709579917
6-chloroquinoline,Boronic Acid,dtbpf,Et3N,THF,13.5554979726139
6-chloroquinoline,Boronic Acid,XPhos,Et3N,THF,88.9252912767351
6-chloroquinoline,Boronic Acid,dppf,Et3N,THF,21.6492415106935
6-chloroquinoline,Boronic Acid,Xantphos,Et3N,THF,3.63674229125296
6-chloroquinoline,Boronic Acid,None,Et3N,THF,14.6678415787048
6-chloroquinoline,Boronic Acid,P(tBu)3,None,THF,67.5734596649153
6-chloroquinoline,Boronic Acid,P(Ph)3,None,THF,9.43637372825409
6-chloroquinoline,Boronic Acid,AmPhos,None,THF,64.558328683964
6-chloroquinoline,Boronic Acid,P(Cy)3,None,THF,73.9667254408659
6-chloroquinoline,Boronic Acid,P(o-Tol)3,None,THF,4.81262088058821
6-chloroquinoline,Boronic Acid,CataCXium A,None,THF,83.6189452391671
6-chloroquinoline,Boronic Acid,SPhos,None,THF,89.1672083813658
6-chloroquinoline,Boronic Acid,dtbpf,None,THF,10.9695470256029
6-chloroquinoline,Boronic Acid,XPhos,None,THF,91.3485106189053
6-chloroquinoline,Boronic Acid,dppf,None,THF,21.872895631487
6-chloroquinoline,Boronic Acid,Xantphos,None,THF,4.57266154042595
6-chloroquinoline,Boronic Acid,None,None,THF,11.5267206773054
6-chloroquinoline,Boronic Acid,P(tBu)3,NaOH,DMF,17.3301256176142
6-chloroquinoline,Boronic Acid,P(Ph)3,NaOH,DMF,6.27155688817173
6-chloroquinoline,Boronic Acid,AmPhos,NaOH,DMF,5.33782869968364
6-chloroquinoline,Boronic Acid,P(Cy)3,NaOH,DMF,12.7404449315301
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaOH,DMF,5.37201523252886
6-chloroquinoline,Boronic Acid,CataCXium A,NaOH,DMF,8.59920402539801
6-chloroquinoline,Boronic Acid,SPhos,NaOH,DMF,77.8488912544994
6-chloroquinoline,Boronic Acid,dtbpf,NaOH,DMF,10.0341310578617
6-chloroquinoline,Boronic Acid,XPhos,NaOH,DMF,88.2753685705748
6-chloroquinoline,Boronic Acid,dppf,NaOH,DMF,13.8715355750171
6-chloroquinoline,Boronic Acid,Xantphos,NaOH,DMF,4.79652923515851
6-chloroquinoline,Boronic Acid,None,NaOH,DMF,8.31483573997866
6-chloroquinoline,Boronic Acid,P(tBu)3,NaHCO3,DMF,3.49558510672879
6-chloroquinoline,Boronic Acid,P(Ph)3,NaHCO3,DMF,6.83848609348724
6-chloroquinoline,Boronic Acid,AmPhos,NaHCO3,DMF,2.53680423569808
6-chloroquinoline,Boronic Acid,P(Cy)3,NaHCO3,DMF,10.591735254912
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaHCO3,DMF,1.18744561040868
6-chloroquinoline,Boronic Acid,CataCXium A,NaHCO3,DMF,7.85287792876654
6-chloroquinoline,Boronic Acid,SPhos,NaHCO3,DMF,42.1325982495637
6-chloroquinoline,Boronic Acid,dtbpf,NaHCO3,DMF,6.81416606240708
6-chloroquinoline,Boronic Acid,XPhos,NaHCO3,DMF,37.0149598879938
6-chloroquinoline,Boronic Acid,dppf,NaHCO3,DMF,16.2395448252491
6-chloroquinoline,Boronic Acid,Xantphos,NaHCO3,DMF,0.0
6-chloroquinoline,Boronic Acid,None,NaHCO3,DMF,5.29566936703616
6-chloroquinoline,Boronic Acid,P(tBu)3,CsF,DMF,1.22082393118261
6-chloroquinoline,Boronic Acid,P(Ph)3,CsF,DMF,6.23649990796415
6-chloroquinoline,Boronic Acid,AmPhos,CsF,DMF,4.24741026607013
6-chloroquinoline,Boronic Acid,P(Cy)3,CsF,DMF,42.5433025739575
6-chloroquinoline,Boronic Acid,P(o-Tol)3,CsF,DMF,1.0494159569144
6-chloroquinoline,Boronic Acid,CataCXium A,CsF,DMF,12.8923037782901
6-chloroquinoline,Boronic Acid,SPhos,CsF,DMF,63.8780654995044
6-chloroquinoline,Boronic Acid,dtbpf,CsF,DMF,8.6697734089286
6-chloroquinoline,Boronic Acid,XPhos,CsF,DMF,60.8803891772562
6-chloroquinoline,Boronic Acid,dppf,CsF,DMF,8.6697734089286
6-chloroquinoline,Boronic Acid,Xantphos,CsF,DMF,5.14533327418496
6-chloroquinoline,Boronic Acid,None,CsF,DMF,18.7347029866182
6-chloroquinoline,Boronic Acid,P(tBu)3,K3PO4,DMF,3.69254079562934
6-chloroquinoline,Boronic Acid,P(Ph)3,K3PO4,DMF,5.29918108178033
6-chloroquinoline,Boronic Acid,AmPhos,K3PO4,DMF,5.07709453930326
6-chloroquinoline,Boronic Acid,P(Cy)3,K3PO4,DMF,6.96579609147833
6-chloroquinoline,Boronic Acid,P(o-Tol)3,K3PO4,DMF,0.988129766326499
6-chloroquinoline,Boronic Acid,CataCXium A,K3PO4,DMF,11.9091592748023
6-chloroquinoline,Boronic Acid,SPhos,K3PO4,DMF,39.8296539843221
6-chloroquinoline,Boronic Acid,dtbpf,K3PO4,DMF,7.57878835945558
6-chloroquinoline,Boronic Acid,XPhos,K3PO4,DMF,39.4896466660449
6-chloroquinoline,Boronic Acid,dppf,K3PO4,DMF,9.03276836431198
6-chloroquinoline,Boronic Acid,Xantphos,K3PO4,DMF,0.0
6-chloroquinoline,Boronic Acid,None,K3PO4,DMF,14.0786736549013
6-chloroquinoline,Boronic Acid,P(tBu)3,KOH,DMF,13.5475398975478
6-chloroquinoline,Boronic Acid,P(Ph)3,KOH,DMF,4.35998536352889
6-chloroquinoline,Boronic Acid,AmPhos,KOH,DMF,3.2970915716778
6-chloroquinoline,Boronic Acid,P(Cy)3,KOH,DMF,7.47024695482382
6-chloroquinoline,Boronic Acid,P(o-Tol)3,KOH,DMF,3.54390034048101
6-chloroquinoline,Boronic Acid,CataCXium A,KOH,DMF,10.6667507465437
6-chloroquinoline,Boronic Acid,SPhos,KOH,DMF,62.7748205525383
6-chloroquinoline,Boronic Acid,dtbpf,KOH,DMF,8.83069339666964
6-chloroquinoline,Boronic Acid,XPhos,KOH,DMF,79.1448787933051
6-chloroquinoline,Boronic Acid,dppf,KOH,DMF,10.0736710415608
6-chloroquinoline,Boronic Acid,Xantphos,KOH,DMF,4.45873996881102
6-chloroquinoline,Boronic Acid,None,KOH,DMF,15.8812147205277
6-chloroquinoline,Boronic Acid,P(tBu)3,LiOtBu,DMF,23.0725794554218
6-chloroquinoline,Boronic Acid,P(Ph)3,LiOtBu,DMF,7.06662929503855
6-chloroquinoline,Boronic Acid,AmPhos,LiOtBu,DMF,4.12097046908743
6-chloroquinoline,Boronic Acid,P(Cy)3,LiOtBu,DMF,6.70759985076743
6-chloroquinoline,Boronic Acid,P(o-Tol)3,LiOtBu,DMF,2.66690196995924
6-chloroquinoline,Boronic Acid,CataCXium A,LiOtBu,DMF,6.26688976583805
6-chloroquinoline,Boronic Acid,SPhos,LiOtBu,DMF,71.5426743156485
6-chloroquinoline,Boronic Acid,dtbpf,LiOtBu,DMF,10.0123867012383
6-chloroquinoline,Boronic Acid,XPhos,LiOtBu,DMF,61.4736557075014
6-chloroquinoline,Boronic Acid,dppf,LiOtBu,DMF,9.53958263011332
6-chloroquinoline,Boronic Acid,Xantphos,LiOtBu,DMF,0.0
6-chloroquinoline,Boronic Acid,None,LiOtBu,DMF,15.8867821005092
6-chloroquinoline,Boronic Acid,P(tBu)3,Et3N,DMF,17.90385630688
6-chloroquinoline,Boronic Acid,P(Ph)3,Et3N,DMF,4.61300437773432
6-chloroquinoline,Boronic Acid,AmPhos,Et3N,DMF,4.59642896981618
6-chloroquinoline,Boronic Acid,P(Cy)3,Et3N,DMF,7.56429582547112
6-chloroquinoline,Boronic Acid,P(o-Tol)3,Et3N,DMF,2.55668127054664
6-chloroquinoline,Boronic Acid,CataCXium A,Et3N,DMF,6.26426095027396
6-chloroquinoline,Boronic Acid,SPhos,Et3N,DMF,72.8355518057598
6-chloroquinoline,Boronic Acid,dtbpf,Et3N,DMF,10.1667402091094
6-chloroquinoline,Boronic Acid,XPhos,Et3N,DMF,67.4843767651673
6-chloroquinoline,Boronic Acid,dppf,Et3N,DMF,9.64307010994259
6-chloroquinoline,Boronic Acid,Xantphos,Et3N,DMF,0.0
6-chloroquinoline,Boronic Acid,None,Et3N,DMF,15.0524628547964
6-chloroquinoline,Boronic Acid,P(tBu)3,None,DMF,19.0765245632751
6-chloroquinoline,Boronic Acid,P(Ph)3,None,DMF,4.8825316301071
6-chloroquinoline,Boronic Acid,AmPhos,None,DMF,5.4275666476843
6-chloroquinoline,Boronic Acid,P(Cy)3,None,DMF,7.06177507228769
6-chloroquinoline,Boronic Acid,P(o-Tol)3,None,DMF,1.21874963064015
6-chloroquinoline,Boronic Acid,CataCXium A,None,DMF,8.88760394948024
6-chloroquinoline,Boronic Acid,SPhos,None,DMF,49.1231313338811
6-chloroquinoline,Boronic Acid,dtbpf,None,DMF,11.1450714863157
6-chloroquinoline,Boronic Acid,XPhos,None,DMF,43.5209625584725
6-chloroquinoline,Boronic Acid,dppf,None,DMF,8.85908616746079
6-chloroquinoline,Boronic Acid,Xantphos,None,DMF,0.0
6-chloroquinoline,Boronic Acid,None,None,DMF,15.1234882786008
6-chloroquinoline,Boronic Acid,P(tBu)3,NaOH,MeOH,33.3686246020695
6-chloroquinoline,Boronic Acid,P(Ph)3,NaOH,MeOH,15.3450097553135
6-chloroquinoline,Boronic Acid,AmPhos,NaOH,MeOH,30.95888171549
6-chloroquinoline,Boronic Acid,P(Cy)3,NaOH,MeOH,32.7228107743226
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaOH,MeOH,34.2365736501709
6-chloroquinoline,Boronic Acid,CataCXium A,NaOH,MeOH,14.9072004805931
6-chloroquinoline,Boronic Acid,SPhos,NaOH,MeOH,43.2999917758306
6-chloroquinoline,Boronic Acid,dtbpf,NaOH,MeOH,17.5681639214071
6-chloroquinoline,Boronic Acid,XPhos,NaOH,MeOH,37.6451431377011
6-chloroquinoline,Boronic Acid,dppf,NaOH,MeOH,14.5861369323008
6-chloroquinoline,Boronic Acid,Xantphos,NaOH,MeOH,13.0965528838726
6-chloroquinoline,Boronic Acid,None,NaOH,MeOH,15.3287751335987
6-chloroquinoline,Boronic Acid,P(tBu)3,NaHCO3,MeOH,27.2988732434407
6-chloroquinoline,Boronic Acid,P(Ph)3,NaHCO3,MeOH,37.4724646797757
6-chloroquinoline,Boronic Acid,AmPhos,NaHCO3,MeOH,13.0775640329684
6-chloroquinoline,Boronic Acid,P(Cy)3,NaHCO3,MeOH,27.8870043258673
6-chloroquinoline,Boronic Acid,P(o-Tol)3,NaHCO3,MeOH,14.4047483719651
6-chloroquinoline,Boronic Acid,CataCXium A,NaHCO3,MeOH,25.151362606933
6-chloroquinoline,Boronic Acid,SPhos,NaHCO3,MeOH,16.5132712003237
6-chloroquinoline,Boronic Acid,dtbpf,NaHCO3,MeOH,27.5595545053442
6-chloroquinoline,Boronic Acid,XPhos,NaHCO3,MeOH,30.9778179622142
6-chloroquinoline,Boronic Acid,dppf,NaHCO3,MeOH,20.1635057853027
6-chloroquinoline,Boronic Acid,Xantphos,NaHCO3,MeOH,25.8984372557193
6-chloroquinoline,Boronic Acid,None,NaHCO3,MeOH,12.6453446261064
6-chloroquinoline,Boronic Acid,P(tBu)3,CsF,MeOH,28.4479307780546
6-chloroquinoline,Boronic Acid,P(Ph)3,CsF,MeOH,13.6437201709157
6-chloroquinoline,Boronic Acid,AmPhos,CsF,MeOH,31.8161138612688
6-chloroquinoline,Boronic Acid,P(Cy)3,CsF,MeOH,30.9443734111355
6-chloroquinoline,Boronic Acid,P(o-Tol)3,CsF,MeOH,31.9778129957951
6-chloroquinoline,Boronic Acid,CataCXium A,CsF,MeOH,28.1257991939562
6-chloroquinoline,Boronic Acid,SPhos,CsF,MeOH,18.416637401632
6-chloroquinoline,Boronic Acid,dtbpf,CsF,MeOH,15.4551816393562
6-chloroquinoline,Boronic Acid,XPhos,CsF,MeOH,35.0038934121785
6-chloroquinoline,Boronic Acid,dppf,CsF,MeOH,20.7051019464025
6-chloroquinoline,Boronic Acid,Xantphos,CsF,MeOH,32.2370735366268
6-chloroquinoline,Boronic Acid,None,CsF,MeOH,33.681629409575
6-chloroquinoline,Boronic Acid,P(tBu)3,K3PO4,MeOH,26.8502682369668
6-chloroquinoline,Boronic Acid,P(Ph)3,K3PO4,MeOH,15.4977983662797
6-chloroquinoline,Boronic Acid,AmPhos,K3PO4,MeOH,12.5657929576163
6-chloroquinoline,Boronic Acid,P(Cy)3,K3PO4,MeOH,14.3965448980969
6-chloroquinoline,Boronic Acid,P(o-Tol)3,K3PO4,MeOH,13.0393494127328
6-chloroquinoline,Boronic Acid,CataCXium A,K3PO4,MeOH,15.2281211654499
6-chloroquinoline,Boronic Acid,SPhos,K3PO4,MeOH,22.2538143040283
6-chloroquinoline,Boronic Acid,dtbpf,K3PO4,MeOH,17.2841815723781
6-chloroquinoline,Boronic Acid,XPhos,K3PO4,MeOH,22.2397467111818
6-chloroquinoline,Boronic Acid,dppf,K3PO4,MeOH,15.8290195173318
