,Name,M1,M2,M3,Support,M1_mol,M2_mol,M3_mol,Temp,Ar_flow,CH4_flow,O2_flow,CT,Performance
73,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,2.3,8.5,4.3,0.5,12.176997950819676
74,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,3.0,11.3,5.7,0.38,12.090857142857143
75,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,1.5,6.4,2.1,0.75,11.917837837837839
76,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,2.3,9.6,3.2,0.5,11.785039651070578
77,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,3.0,12.8,4.3,0.38,11.329175588865095
78,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,1.5,6.8,1.7,0.75,17.14903703703704
79,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,2.3,10.2,2.6,0.5,10.57045851528384
80,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,3.0,13.6,3.4,0.38,9.285692307692306
81,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,1.5,7.3,1.2,0.75,17.282362592288763
82,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,2.3,10.9,1.8,0.5,18.00157585917854
83,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,3.0,14.6,2.4,0.38,9.454145383104127
84,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,4.0,4.0,2.0,0.75,10.271608961303462
85,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,6.0,6.0,3.0,0.5,11.415809011776755
86,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,8.0,8.0,4.0,0.38,11.707184782608694
87,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,4.0,4.5,1.5,0.75,12.329370574350904
88,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,6.0,6.8,2.3,0.5,13.244907926341073
89,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,8.0,9.0,3.0,0.38,12.074964646464649
90,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,4.0,4.8,1.2,0.75,13.049945295404813
91,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,6.0,7.2,1.8,0.5,13.769702806824435
92,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,8.0,9.6,2.4,0.38,10.989062500000001
93,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,4.0,5.1,0.9,0.75,10.695668358714043
94,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,6.0,7.7,1.3,0.5,12.286394849785406
95,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,8.0,10.3,1.7,0.38,10.666303305576584
96,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,7.0,2.0,1.0,0.75,11.913769470404986
97,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,10.5,3.0,1.5,0.5,12.14818181818182
98,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,14.0,4.0,2.0,0.38,12.543342359767891
99,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,7.0,2.3,0.8,0.75,12.992572892040975
100,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,10.5,3.4,1.1,0.5,14.98428634361233
101,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,14.0,4.5,1.5,0.38,13.40554991539763
102,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,7.0,2.4,0.6,0.75,15.140821068938806
103,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,10.5,3.6,0.9,0.5,16.517908887229275
104,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,14.0,4.8,1.2,0.38,8.959359116022098
105,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,7.0,2.6,0.4,0.75,10.608427672955976
106,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,10.5,3.9,0.6,0.5,11.825000000000003
107,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,800,14.0,5.1,0.9,0.38,2.0436962750716337
108,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,1.5,5.7,2.8,0.75,11.59620108836486
109,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,2.3,8.5,4.3,0.5,12.002144368059227
110,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,3.0,11.3,5.7,0.38,13.12146523178808
111,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,1.5,6.4,2.1,0.75,12.155684295518773
112,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,2.3,9.6,3.2,0.5,13.331230323115163
113,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,3.0,12.8,4.3,0.38,12.627544843049327
114,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,1.5,6.8,1.7,0.75,12.312470588235293
115,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,2.3,10.2,2.6,0.5,12.931652518392758
116,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,3.0,13.6,3.4,0.38,11.909040747028861
117,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,1.5,7.3,1.2,0.75,9.740654362416109
118,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,2.3,10.9,1.8,0.5,12.007929515418503
119,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,3.0,14.6,2.4,0.38,10.074421958006578
120,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,4.0,4.0,2.0,0.75,10.819466735697645
121,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,6.0,6.0,3.0,0.5,11.424195326857442
122,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,8.0,8.0,4.0,0.38,11.55444271239283
123,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,4.0,4.5,1.5,0.75,12.413947696139473
124,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,6.0,6.8,2.3,0.5,12.418155102040819
125,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,8.0,9.0,3.0,0.38,11.592572658772877
126,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,4.0,4.8,1.2,0.75,10.683214285714286
127,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,6.0,7.2,1.8,0.5,13.441545403271292
128,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,8.0,9.6,2.4,0.38,11.742206148282099
129,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,4.0,5.1,0.9,0.75,11.353536014967261
130,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,6.0,7.7,1.3,0.5,12.801694915254235
131,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,8.0,10.3,1.7,0.38,11.540552486187847
132,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,7.0,2.0,1.0,0.75,12.372367021276595
133,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,10.5,3.0,1.5,0.5,12.703122195830035
134,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,14.0,4.0,2.0,0.38,12.350640279394641
135,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,7.0,2.3,0.8,0.75,13.14341342170671
136,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,10.5,3.4,1.1,0.5,14.6348669527897
137,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,14.0,4.5,1.5,0.38,11.574314516129034
138,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,7.0,2.4,0.6,0.75,13.569937382592363
139,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,10.5,3.6,0.9,0.5,14.64384769539078
140,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,14.0,4.8,1.2,0.38,9.362005141388174
141,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,7.0,2.6,0.4,0.75,9.107378787878787
142,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,10.5,3.9,0.6,0.5,8.46820143884892
143,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,775,14.0,5.1,0.9,0.38,11.023103448275862
144,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,1.5,5.7,2.8,0.75,10.849749864056554
145,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,2.3,8.5,4.3,0.5,10.515167296276308
146,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,3.0,11.3,5.7,0.38,13.354875666074602
147,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,1.5,6.4,2.1,0.75,11.466280566280565
148,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,2.3,9.6,3.2,0.5,11.895699481865286
149,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,3.0,12.8,4.3,0.38,12.833290909090909
150,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,1.5,6.8,1.7,0.75,10.985538277511962
151,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,2.3,10.2,2.6,0.5,11.890344827586208
152,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,3.0,13.6,3.4,0.38,10.94936193619362
153,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,1.5,7.3,1.2,0.75,9.334507042253522
154,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,2.3,10.9,1.8,0.5,11.680546075085322
155,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,3.0,14.6,2.4,0.38,10.270641509433961
156,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,4.0,4.0,2.0,0.75,11.296935483870966
157,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,6.0,6.0,3.0,0.5,11.135680815876515
158,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,8.0,8.0,4.0,0.38,11.43859866962306
159,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,4.0,4.5,1.5,0.75,11.70030218503022
160,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,6.0,6.8,2.3,0.5,13.093598536808411
161,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,8.0,9.0,3.0,0.38,10.838202247191012
162,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,4.0,4.8,1.2,0.75,10.169140030441401
163,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,6.0,7.2,1.8,0.5,12.148482709950597
164,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,8.0,9.6,2.4,0.38,10.595901639344262
165,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,4.0,5.1,0.9,0.75,10.332213114754097
166,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,6.0,7.7,1.3,0.5,11.362390350877192
167,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,8.0,10.3,1.7,0.38,10.602526315789474
168,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,7.0,2.0,1.0,0.75,11.950714285714287
169,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,10.5,3.0,1.5,0.5,11.703196721311476
170,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,14.0,4.0,2.0,0.38,5.949672897196262
171,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,7.0,2.3,0.8,0.75,6.911263940520446
172,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,10.5,3.4,1.1,0.5,6.3428571428571425
173,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,14.0,4.5,1.5,0.38,4.619856459330144
174,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,7.0,2.4,0.6,0.75,3.758432432432432
175,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,10.5,3.6,0.9,0.5,3.3961666666666672
176,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,14.0,4.8,1.2,0.38,1.8067924528301886
177,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,7.0,2.6,0.4,0.75,1.5465898617511522
178,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,10.5,3.9,0.6,0.5,1.3107042253521126
179,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,700,14.0,5.1,0.9,0.38,2.455768621236133
180,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,1.5,5.7,2.8,0.75,11.158471337579616
181,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,2.3,8.5,4.3,0.5,11.199651898734178
182,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,3.0,11.3,5.7,0.38,13.043713921901528
183,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,1.5,6.4,2.1,0.75,11.322909836065577
184,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,2.3,9.6,3.2,0.5,12.334521342726896
185,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,3.0,12.8,4.3,0.38,12.088293785310734
186,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,1.5,6.8,1.7,0.75,12.49269695227142
187,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,2.3,10.2,2.6,0.5,11.818194760820045
188,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,3.0,13.6,3.4,0.38,10.931548331907615
189,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,1.5,7.3,1.2,0.75,10.956331569664904
190,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,2.3,10.9,1.8,0.5,12.175846153846154
191,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,3.0,14.6,2.4,0.38,9.847017857142855
192,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,4.0,4.0,2.0,0.75,10.43780360407417
193,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,6.0,6.0,3.0,0.5,10.667875361556666
194,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,8.0,8.0,4.0,0.38,11.056565576998818
195,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,4.0,4.5,1.5,0.75,11.106935086277733
196,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,6.0,6.8,2.3,0.5,12.25293096320794
197,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,8.0,9.0,3.0,0.38,9.99501312335958
198,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,4.0,4.8,1.2,0.75,10.000563075257176
199,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,6.0,7.2,1.8,0.5,11.23287878787879
200,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,8.0,9.6,2.4,0.38,9.503770883054893
201,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,4.0,5.1,0.9,0.75,14.97123558484349
202,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,6.0,7.7,1.3,0.5,10.136047463175123
203,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,8.0,10.3,1.7,0.38,8.894979363923284
204,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,7.0,2.0,1.0,0.75,8.882446601941748
205,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,10.5,3.0,1.5,0.5,9.60806640625
206,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,14.0,4.0,2.0,0.38,8.509565217391303
207,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,7.0,2.3,0.8,0.75,9.6469020749909
208,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,10.5,3.4,1.1,0.5,11.291211111111112
209,Mn-Na2WO4/BN,Mn,Na,W,BN,0.371,0.37,0.185,750,14.0,4.5,1.5,0.38,10.50326372025255
