custom_id,winner_idx,loser_idx,llm_choice,true_winner,llm_correct
q_000278,826,8766,B,B,True
q_000279,1051,9718,B,B,True
q_000280,3505,5349,B,B,True
q_000281,4885,6184,A,A,True
q_000282,8528,7267,B,B,True
q_000283,6235,8157,A,B,False
q_000284,5606,11755,B,A,False
q_000285,10894,11916,B,A,False
q_000286,2046,685,A,A,True
q_000287,1928,7264,B,A,False
q_000288,6890,12028,A,A,True
q_000289,6016,4932,B,A,False
q_000290,7374,10261,B,A,False
q_000291,720,3392,B,B,True
q_000292,1330,12119,B,A,False
q_000293,4212,5195,B,B,True
q_000294,6925,9115,B,A,False
q_000295,6616,9813,A,A,True
q_000296,11368,10797,A,A,True
q_000297,2503,5577,B,B,True
q_000298,2564,3615,A,B,False
q_000299,274,6885,A,B,False
q_000300,4621,6949,B,A,False
q_000301,464,10499,B,B,True
q_000302,125,5682,A,A,True
q_000303,11386,11405,A,B,False
q_000304,2082,6897,A,A,True
q_000305,1782,10419,A,A,True
q_000306,5683,3839,A,A,True
q_000307,7039,6663,B,B,True
q_000309,1380,8968,A,B,False
q_000310,8101,8463,A,B,False
q_000311,1321,8542,B,A,False
q_000312,1511,3752,A,B,False
q_000313,3573,10739,B,A,False
q_000314,509,3098,B,A,False
q_000315,8379,9088,A,A,True
q_000316,6613,9279,A,A,True
q_000317,1524,9238,A,B,False
q_000318,1560,11928,A,A,True
q_000319,12461,9767,A,B,False
q_000320,394,4074,A,B,False
q_000321,286,1369,A,A,True
q_000322,212,7810,B,A,False
q_000323,11639,7986,B,A,False
q_000324,11770,12391,A,A,True
q_000325,2182,2925,B,A,False
q_000326,3004,10111,A,A,True
q_000327,475,9139,A,A,True
q_000328,1795,2919,A,A,True
q_000329,895,7050,B,A,False
q_000330,6199,6948,A,B,False
q_000331,1031,4713,A,A,True
q_000332,1443,3938,B,B,True
q_000333,5925,10543,B,B,True
q_000334,5845,10364,B,B,True
q_000335,12630,10270,A,A,True
q_000336,12239,7978,A,B,False
q_000337,3513,4029,B,A,False
q_000338,2576,4171,A,B,False
q_000339,7783,12108,A,A,True
q_000340,2201,8067,A,A,True
q_000341,3696,6589,A,A,True
q_000342,7902,9770,B,B,True
q_000343,6544,10700,B,B,True
q_000344,752,11505,B,B,True
q_000345,3666,3252,A,B,False
q_000346,12597,3237,A,A,True
q_000347,7051,11893,B,B,True
q_000348,2296,2355,A,A,True
q_000349,2092,12079,B,B,True
q_000350,6774,11652,A,A,True
q_000351,571,4225,A,A,True
q_000352,3796,5173,B,B,True
q_000353,5529,5583,A,A,True
q_000354,542,12317,A,A,True
q_000355,12610,11293,B,B,True
q_000356,1926,9903,B,A,False
q_000357,4224,11329,A,B,False
q_000358,1156,6956,A,B,False
q_000359,4837,9512,B,B,True
q_000360,2899,10745,B,B,True
q_000361,3864,11318,A,B,False
q_000362,1361,2839,B,A,False
q_000363,11352,10286,A,A,True
q_000364,1474,8320,A,A,True
q_000365,6593,11821,A,A,True
q_000366,83,5966,B,A,False
q_000367,8019,4014,B,A,False
q_000368,280,7120,A,A,True
q_000369,7924,9809,A,A,True
q_000370,4263,12576,A,A,True
q_000371,8408,4956,B,B,True
q_000372,1792,5213,A,A,True
q_000373,158,4748,B,B,True
q_000374,6252,11261,A,B,False
q_000375,1201,2210,B,B,True
q_000376,1793,9360,A,A,True
q_000377,1873,9489,A,A,True
q_000378,4829,3519,A,A,True
q_000380,67,6174,B,B,True
q_000381,8311,11903,B,B,True
q_000382,3676,12043,B,B,True
q_000383,1733,3062,B,A,False
q_000384,405,7273,A,B,False
q_000385,1088,1560,A,B,False
q_000386,860,9372,A,B,False
q_000387,4861,10560,B,B,True
q_000388,5209,11332,A,A,True
q_000389,1948,3164,B,A,False
q_000390,3593,9488,A,A,True
q_000391,2278,1853,A,B,False
q_000392,4666,7090,A,B,False
q_000393,1857,7616,B,B,True
q_000394,9148,8647,A,A,True
q_000395,3255,11112,A,A,True
q_000396,569,7184,B,B,True
q_000397,2496,6821,A,B,False
q_000398,8049,3564,A,B,False
q_000399,3943,9633,A,B,False
q_000400,12681,7123,B,B,True
q_000401,10835,9878,A,B,False
q_000402,3291,4071,A,B,False
q_000403,12349,9548,B,A,False
q_000404,6344,4357,B,B,True
q_000405,6362,7983,B,B,True
q_000406,6251,5511,A,B,False
q_000407,1828,11532,B,B,True
q_000408,3446,11872,A,B,False
q_000409,6604,177,A,A,True
q_000410,2214,2090,A,B,False
q_000411,8048,2918,A,B,False
q_000412,468,3548,A,A,True
q_000413,1675,5230,A,A,True
q_000414,125,228,A,A,True
q_000415,4159,8611,B,A,False
q_000416,6150,12317,B,B,True
q_000417,1548,4214,B,A,False
q_000418,3767,4904,B,A,False
q_000419,1885,6433,B,B,True
q_000420,11785,9080,A,A,True
q_000421,8822,10122,A,A,True
q_000422,5778,9735,B,B,True
q_000423,704,7384,B,B,True
q_000424,793,5299,A,A,True
q_000425,2538,8573,B,B,True
q_000426,11803,10982,A,A,True
q_000427,10984,10217,A,B,False
q_000428,318,5152,B,B,True
q_000429,6320,9090,A,A,True
q_000430,2072,1072,A,A,True
q_000431,892,9390,A,A,True
q_000432,9730,10495,A,A,True
q_000433,1665,5444,A,A,True
q_000434,5513,6313,A,A,True
q_000435,1573,4361,B,B,True
q_000436,3979,7208,B,A,False
q_000437,11785,12523,A,A,True
q_000438,1028,10371,A,A,True
q_000439,5052,8784,B,B,True
q_000440,12365,4945,A,B,False
q_000441,3823,9166,A,A,True
q_000442,1680,4310,A,A,True
q_000443,6554,6208,A,A,True
q_000444,1843,6459,A,A,True
q_000445,8423,9014,A,B,False
q_000446,769,3986,A,B,False
q_000447,12143,9181,A,A,True
q_000448,6620,7671,A,B,False
q_000449,843,3639,B,B,True
q_000450,12202,6430,A,B,False
q_000451,2828,11750,A,B,False
q_000452,6050,6342,A,B,False
q_000453,315,164,A,A,True
q_000454,7585,9172,B,B,True
q_000455,7054,6478,A,A,True
q_000456,1883,4604,A,A,True
q_000457,8056,11128,B,B,True
q_000458,8195,10683,A,B,False
q_000459,1346,7746,B,B,True
q_000460,1869,9191,A,A,True
q_000461,1783,6356,A,A,True
q_000462,9515,8902,A,A,True
q_000463,5326,11765,A,B,False
q_000464,82,7678,B,A,False
q_000465,2188,12278,B,A,False
q_000466,2109,8615,A,A,True
q_000467,948,7574,A,A,True
q_000468,2306,3976,B,B,True
q_000469,11655,11855,A,A,True
q_000470,9381,10188,A,B,False
q_000471,11471,10220,A,A,True
q_000472,5490,4477,A,B,False
q_000473,5939,8678,B,B,True
q_000474,8060,8895,B,B,True
q_000475,3125,9971,B,B,True
q_000476,11977,10762,B,A,False
q_000477,226,12322,A,A,True
q_000478,1402,8432,B,B,True
q_000479,1387,9725,B,B,True
q_000480,3658,5689,B,A,False
q_000481,8563,10539,B,B,True
q_000482,3183,7044,B,B,True
q_000483,2832,10124,B,B,True
q_000484,1220,5883,A,A,True
q_000485,2956,6519,B,B,True
q_000486,4246,10638,B,B,True
q_000487,6744,10452,A,A,True
q_000488,3491,9722,B,B,True
q_000489,7701,10930,A,A,True
q_000490,4522,11857,B,B,True
q_000491,7133,11025,A,B,False
q_000492,4121,9572,B,A,False
q_000493,7664,6643,A,A,True
q_000494,3683,6726,A,A,True
q_000495,5242,8865,B,A,False
q_000496,1511,5996,A,B,False
q_000497,6712,4755,A,A,True
q_000498,8277,11771,A,A,True
q_000499,5411,5307,A,B,False
q_000500,1445,6663,B,B,True
q_000501,1086,8284,B,B,True
q_000502,12232,11052,B,B,True
q_000503,1602,11022,B,B,True
q_000504,3482,11092,A,A,True
q_000505,5767,9660,A,A,True
q_000506,6747,12042,B,B,True
q_000507,313,3149,A,B,False
q_000508,2759,3414,A,A,True
q_000509,665,3007,A,A,True
q_000510,12638,5306,A,A,True
q_000511,11494,9479,A,A,True
q_000512,9736,10684,B,B,True
q_000513,8945,10375,B,B,True
q_000514,12187,10780,B,B,True
q_000515,53,1338,A,B,False
q_000516,10008,11202,A,B,False
q_000517,846,3964,A,B,False
q_000518,6041,8779,A,B,False
q_000519,7554,9699,B,A,False
q_000520,4546,8714,B,B,True
q_000521,1857,5306,A,A,True
q_000522,2443,7772,A,A,True
q_000523,5957,10478,B,B,True
q_000524,7984,4049,A,B,False
q_000525,3943,5830,B,A,False
q_000526,5007,11732,B,B,True
q_000527,1828,2568,B,B,True
q_000528,11629,4923,B,B,True
q_000529,11702,9166,A,A,True
q_000530,7606,11057,B,B,True
q_000531,2103,1309,A,A,True
q_000532,2323,1980,B,A,False
q_000533,3617,6445,B,B,True
q_000534,8927,7337,A,A,True
q_000535,2159,1952,A,B,False
q_000536,4127,5790,B,A,False
q_000537,592,1468,A,B,False
q_000538,669,6865,B,A,False
q_000539,1820,268,A,A,True
q_000540,9265,9009,B,B,True
q_000541,704,11046,A,A,True
q_000542,2475,6338,A,A,True
q_000543,2219,2238,A,B,False
q_000544,11707,10559,B,B,True
q_000546,1966,5454,A,B,False
q_000547,1755,7512,A,B,False
q_000548,4486,6556,B,B,True
q_000549,9346,8650,A,B,False
q_000550,5046,10204,A,A,True
q_000551,5660,5002,A,B,False
q_000552,4323,10523,A,A,True
q_000553,4040,11990,A,A,True
q_000554,12509,8686,B,A,False
q_000555,6410,8441,A,A,True
q_000556,5561,9352,A,A,True
q_000557,6752,11118,B,A,False
q_000558,11245,10072,B,B,True
q_000559,8344,10814,B,B,True
q_000560,6817,10340,B,B,True
q_000561,513,553,A,A,True
q_000562,6265,10922,A,B,False
q_000563,2306,12080,B,B,True
q_000564,8489,11297,B,B,True
q_000565,3008,12153,A,B,False
q_000566,2898,7213,B,B,True
q_000567,3508,3168,A,B,False
q_000568,8165,7704,B,A,False
q_000569,7984,7258,A,B,False
q_000570,1838,12057,B,B,True
q_000571,2565,5289,B,B,True
q_000572,3586,3702,A,B,False
q_000573,626,6956,A,B,False
q_000574,89,1880,A,B,False
q_000575,4748,9794,A,B,False
q_000576,1391,11763,A,A,True
q_000577,6655,11941,B,B,True
q_000578,8587,11353,B,B,True
q_000579,1292,4310,A,B,False
q_000580,1186,4734,A,A,True
q_000581,10590,8812,B,A,False
q_000582,1128,1356,A,A,True
q_000583,661,9103,B,B,True
q_000584,7016,5135,A,B,False
q_000585,2810,11751,A,B,False
q_000586,11401,8760,B,B,True
q_000587,7993,1260,A,B,False
q_000588,2079,10637,A,A,True
q_000589,8328,10718,A,B,False
q_000590,5225,10174,A,A,True
q_000591,11469,9709,A,B,False
q_000592,3048,6253,A,A,True
q_000593,12707,12447,B,A,False
q_000594,11782,4074,A,A,True
q_000595,511,10191,B,B,True
q_000596,5222,7362,A,A,True
q_000597,2570,9904,A,B,False
q_000598,7978,5721,A,B,False
q_000599,1843,8164,A,A,True
q_000600,7831,6806,A,A,True
q_000601,1962,9898,B,B,True
q_000602,7918,9391,A,A,True
q_000603,1710,5772,B,A,False
q_000604,12618,10496,A,B,False
q_000605,6811,11163,A,A,True
q_000606,4105,7627,A,B,False
q_000607,5702,6534,B,B,True
q_000608,12287,9096,A,B,False
q_000609,8494,10896,B,B,True
q_000610,1770,10593,B,B,True
q_000611,4784,5880,B,B,True
q_000612,12607,9963,A,A,True
q_000613,4061,4893,B,B,True
q_000614,168,8719,B,B,True
q_000615,8127,10600,A,A,True
q_000616,3174,11852,B,B,True
q_000617,8330,3385,B,B,True
q_000618,777,8069,B,B,True
q_000619,1776,4458,A,B,False
q_000620,4567,5510,A,B,False
q_000622,2098,10902,A,A,True
q_000623,5297,6334,A,B,False
q_000624,7677,3978,B,B,True
q_000625,2392,2955,B,A,False
q_000626,138,4297,A,A,True
q_000627,6140,4670,B,A,False
q_000628,7037,6417,A,A,True
q_000629,4656,8573,B,A,False
q_000630,9364,10230,A,B,False
q_000631,4161,4665,A,B,False
q_000632,2119,5513,B,A,False
q_000633,4822,10721,A,A,True
q_000634,2324,9688,B,A,False
q_000635,6774,8713,B,B,True
q_000636,497,2991,B,A,False
q_000637,3772,5944,A,B,False
q_000638,7869,10073,A,A,True
q_000639,10911,12057,A,A,True
q_000640,8524,6457,A,A,True
q_000641,11643,5882,A,A,True
q_000642,4828,10853,A,A,True
q_000643,5266,6111,A,B,False
q_000644,207,9787,B,A,False
q_000645,1318,4172,A,B,False
q_000646,5851,9609,A,B,False
q_000647,6803,4606,A,A,True
q_000648,12205,10810,A,A,True
q_000649,5045,10782,A,A,True
q_000650,12667,6216,A,B,False
q_000651,2295,8292,B,B,True
q_000652,2390,2571,A,B,False
q_000653,7470,10221,B,B,True
q_000654,7027,10199,A,A,True
q_000655,1828,6769,B,B,True
q_000656,6389,9737,A,A,True
q_000657,8042,2842,B,A,False
q_000658,921,9367,B,B,True
q_000659,3661,7129,B,A,False
q_000660,2245,8313,A,B,False
q_000661,3417,9338,A,B,False
q_000662,446,3670,B,B,True
q_000663,2572,8128,A,B,False
q_000664,4484,7592,B,B,True
q_000665,8774,8829,A,B,False
q_000666,6395,1956,A,A,True
q_000667,3828,10936,B,B,True
q_000668,1292,11676,A,B,False
q_000669,1679,1111,B,B,True
q_000670,3334,12103,A,B,False
q_000671,7807,6219,A,A,True
q_000672,1835,8084,B,B,True
q_000673,1209,1181,A,A,True
q_000674,7902,11147,A,A,True
q_000675,6547,9221,A,A,True
q_000676,7380,9092,A,B,False
q_000677,1074,9228,B,A,False
q_000679,7883,11892,B,B,True
q_000680,10936,9192,B,A,False
q_000681,5696,1746,A,A,True
q_000682,12198,10953,B,B,True
q_000683,12184,12019,A,A,True
q_000684,2152,6943,B,A,False
q_000685,1293,10176,A,B,False
q_000686,5168,7846,A,B,False
q_000688,5657,7362,A,A,True
q_000689,9944,10167,B,B,True
q_000690,6802,12664,B,B,True
q_000691,5333,10103,B,B,True
q_000692,11834,12015,B,B,True
q_000693,1942,12021,B,B,True
q_000694,1145,5687,A,B,False
q_000695,1980,3219,A,A,True
q_000696,8319,9172,A,B,False
q_000697,7498,11712,B,B,True
q_000698,638,12678,A,B,False
q_000699,1208,2969,B,B,True
q_000700,6614,9245,B,B,True
q_000701,7830,11106,A,A,True
q_000702,2131,10593,A,B,False
q_000703,2176,6395,B,A,False
q_000704,2217,1644,B,A,False
q_000705,5867,7178,B,B,True
q_000706,99,9860,B,B,True
q_000707,7872,7273,A,A,True
q_000708,6047,4934,B,A,False
q_000709,2732,5921,B,A,False
q_000710,8283,8631,B,B,True
q_000711,5443,6640,A,B,False
q_000712,5998,9247,B,B,True
q_000713,11924,9707,B,B,True
q_000715,3027,10155,B,A,False
q_000716,6578,11687,A,A,True
q_000717,6253,11709,A,B,False
q_000718,2995,3843,A,A,True
q_000719,7619,12633,A,A,True
q_000720,1768,2688,B,A,False
q_000721,660,11832,A,B,False
q_000722,3902,10737,B,B,True
q_000723,1521,6752,B,A,False
q_000724,76,9986,B,B,True
q_000725,2183,1488,A,A,True
q_000726,9164,10049,B,B,True
q_000727,1115,7900,B,A,False
q_000728,7691,6203,B,B,True
q_000729,12574,8359,B,A,False
q_000730,2902,9261,A,A,True
q_000731,5319,11396,A,B,False
q_000732,4513,11710,A,B,False
q_000733,11751,9839,B,A,False
q_000734,2646,9951,B,B,True
q_000735,2711,8529,A,A,True
q_000736,2660,9282,B,B,True
q_000737,4239,6891,A,A,True
q_000738,6388,9380,A,A,True
q_000739,2984,11414,A,A,True
q_000740,3308,10382,B,B,True
q_000741,11428,9689,B,A,False
q_000742,8063,9577,A,A,True
q_000743,2429,3437,A,A,True
q_000744,9215,10104,B,A,False
q_000745,4628,1956,A,B,False
q_000746,5654,6762,B,B,True
q_000747,154,3995,A,B,False
q_000748,8250,3977,A,B,False
q_000749,2003,2312,B,B,True
q_000750,12215,2999,A,A,True
q_000751,2411,1878,A,B,False
q_000752,2330,1096,A,A,True
q_000753,985,11894,A,A,True
q_000754,7052,7045,A,B,False
q_000755,5564,11025,B,B,True
q_000756,3831,9371,B,A,False
q_000757,4871,9911,A,A,True
q_000758,1625,6907,A,A,True
q_000759,3233,9272,B,A,False
q_000760,2236,784,B,A,False
q_000761,7026,9952,B,B,True
q_000763,5364,11894,A,A,True
q_000764,435,4585,A,B,False
q_000765,9854,9915,A,A,True
q_000766,7785,12577,A,A,True
q_000767,6091,4104,A,A,True
q_000768,1778,3984,B,B,True
q_000769,7174,4782,A,B,False
q_000770,8284,6378,B,A,False
q_000771,4849,12537,A,A,True
q_000772,62,4649,B,A,False
q_000773,2385,9120,A,B,False
q_000774,3186,10754,A,A,True
q_000775,7442,12087,B,B,True
q_000776,5385,9331,A,B,False
q_000777,1506,9540,A,B,False
q_000778,3443,6562,B,A,False
q_000779,10807,9569,A,B,False
q_000780,7523,11155,A,B,False
q_000782,1560,4489,A,B,False
q_000783,1549,6591,B,B,True
q_000784,3909,6076,A,B,False
q_000785,7475,9705,B,B,True
q_000786,2353,411,A,A,True
q_000787,693,8718,A,A,True
q_000789,914,156,B,B,True
q_000790,2434,1216,A,B,False
q_000791,5773,4781,A,A,True
q_000792,53,9182,B,A,False
q_000793,2839,10488,B,B,True
q_000794,5480,6922,A,A,True
q_000795,3752,4761,B,B,True
q_000796,12304,11389,B,A,False
q_000797,1191,5826,A,A,True
q_000798,4007,9145,A,A,True
q_000799,7523,5620,A,A,True
q_000800,8186,153,A,B,False
q_000801,8536,3836,A,A,True
q_000802,666,6551,A,B,False
q_000803,11669,10061,B,B,True
q_000804,4210,9380,A,A,True
q_000805,8266,9927,B,B,True
q_000806,6923,3735,B,B,True
q_000807,1405,5037,A,B,False
q_000808,4967,8895,A,B,False
q_000809,11879,12669,A,B,False
q_000810,562,11155,A,A,True
q_000811,9229,11171,A,B,False
q_000812,6843,8698,A,A,True
q_000813,6705,3607,A,A,True
q_000814,12270,9885,B,A,False
q_000815,2628,10634,B,A,False
q_000816,550,12123,B,B,True
q_000817,1352,8246,A,B,False
q_000818,7829,8460,B,B,True
q_000819,7519,12696,B,B,True
q_000820,304,10323,A,A,True
q_000821,8459,8683,B,B,True
q_000822,1735,1205,A,B,False
q_000823,8261,9925,A,A,True
q_000824,7920,9260,B,B,True
q_000825,1149,11626,B,B,True
q_000826,11899,8650,B,A,False
q_000828,544,10971,A,A,True
q_000829,368,8008,A,A,True
q_000830,3124,11872,B,B,True
q_000831,3060,12274,A,A,True
q_000833,1817,11580,B,B,True
q_000834,10855,11187,B,B,True
q_000835,33,9870,B,A,False
q_000836,10271,11244,B,B,True
q_000837,2518,8102,B,B,True
q_000838,185,7290,A,A,True
q_000839,2268,11570,A,B,False
q_000840,3671,11672,B,A,False
q_000841,8339,3750,A,A,True
