C,gamma,test_acc
0.03125,0.03125,0.972586206896552
0.03125,0.0625,0.981586206896552
0.03125,0.125,0.99351724137931
0.03125,0.25,0.991068965517241
0.03125,0.5,0.991551724137931
0.03125,1.0,0.992206896551724
0.03125,2.0,0.992931034482759
0.03125,4.0,0.993068965517242
0.03125,8.0,0.992172413793104
0.03125,16.0,0.986241379310345
0.03125,32.0,0.961793103448276
0.03125,64.0,0.875448275862069
0.03125,128.0,0.806758620689655
0.03125,256.0,0.787724137931034
0.03125,512.0,0.786034482758621
0.03125,1024.0,0.786034482758621
0.0625,0.0009765625,0.912793103448276
0.0625,0.001953125,0.922137931034483
0.0625,0.00390625,0.928896551724138
0.0625,0.0078125,0.949034482758621
0.0625,0.015625,0.969068965517241
0.0625,0.03125,0.980448275862069
0.0625,0.0625,0.990551724137931
0.0625,0.125,0.994862068965517
0.0625,0.25,0.99448275862069
0.0625,0.5,0.993275862068965
0.0625,1.0,0.99351724137931
0.0625,2.0,0.993344827586207
0.0625,4.0,0.993344827586207
0.0625,8.0,0.993448275862069
0.0625,16.0,0.991275862068966
0.0625,32.0,0.981965517241379
0.0625,64.0,0.948551724137931
0.0625,128.0,0.868379310344828
0.0625,256.0,0.810241379310345
0.0625,512.0,0.790379310344828
0.0625,1024.0,0.786310344827586
0.125,0.0009765625,0.921379310344827
0.125,0.001953125,0.925758620689655
0.125,0.00390625,0.941310344827586
0.125,0.0078125,0.96351724137931
0.125,0.015625,0.979793103448276
0.125,0.03125,0.988034482758621
0.125,0.0625,0.994931034482759
0.125,0.125,0.995448275862069
0.125,0.25,0.995413793103448
0.125,0.5,0.994965517241379
0.125,1.0,0.995620689655172
0.125,2.0,0.994862068965517
0.125,4.0,0.994172413793103
0.125,8.0,0.993896551724138
0.125,16.0,0.993068965517242
0.125,32.0,0.989448275862069
0.125,64.0,0.975517241379311
0.125,128.0,0.937862068965517
0.125,256.0,0.874896551724138
0.125,512.0,0.82851724137931
0.125,1024.0,0.80051724137931
0.25,0.0009765625,0.923413793103448
0.25,0.001953125,0.935275862068966
0.25,0.00390625,0.957724137931034
0.25,0.0078125,0.977172413793103
0.25,0.015625,0.98651724137931
0.25,0.03125,0.992
0.25,0.0625,0.995862068965517
0.25,0.125,0.996
0.25,0.25,0.996172413793103
0.25,0.5,0.996551724137931
0.25,1.0,0.996827586206897
0.25,2.0,0.996724137931034
0.25,4.0,0.995793103448276
0.25,8.0,0.994793103448276
0.25,16.0,0.994068965517241
0.25,32.0,0.992241379310345
0.25,64.0,0.984344827586207
0.25,128.0,0.966931034482759
0.25,256.0,0.934034482758621
0.25,512.0,0.889965517241379
0.25,1024.0,0.852344827586207
0.5,0.0009765625,0.931034482758621
0.5,0.001953125,0.95448275862069
0.5,0.00390625,0.971103448275862
0.5,0.0078125,0.981655172413793
0.5,0.015625,0.991827586206896
0.5,0.03125,0.995896551724138
0.5,0.0625,0.996448275862069
0.5,0.125,0.996793103448276
0.5,0.25,0.997172413793103
0.5,0.5,0.997758620689655
0.5,1.0,0.997827586206897
0.5,2.0,0.997689655172414
0.5,4.0,0.997068965517241
0.5,8.0,0.996310344827586
0.5,16.0,0.995103448275862
0.5,32.0,0.993827586206896
0.5,64.0,0.989551724137931
0.5,128.0,0.978137931034483
0.5,256.0,0.958448275862069
0.5,512.0,0.931655172413793
0.5,1024.0,0.897413793103448
1.0,0.0009765625,0.950931034482759
1.0,0.001953125,0.966344827586207
1.0,0.00390625,0.977724137931035
1.0,0.0078125,0.988689655172414
1.0,0.015625,0.996034482758621
1.0,0.03125,0.996413793103448
1.0,0.0625,0.997103448275862
1.0,0.125,0.997793103448276
1.0,0.25,0.997586206896552
1.0,0.5,0.998103448275862
1.0,1.0,0.998068965517241
1.0,2.0,0.997896551724138
1.0,4.0,0.997448275862069
1.0,8.0,0.996793103448276
1.0,16.0,0.995827586206897
1.0,32.0,0.994724137931035
1.0,64.0,0.991310344827586
1.0,128.0,0.983620689655173
1.0,256.0,0.969103448275862
1.0,512.0,0.94948275862069
1.0,1024.0,0.924034482758621
2.0,0.0009765625,0.963172413793103
2.0,0.001953125,0.976413793103448
2.0,0.00390625,0.986827586206897
2.0,0.0078125,0.993
2.0,0.015625,0.99651724137931
2.0,0.03125,0.996931034482759
2.0,0.0625,0.997724137931034
2.0,0.125,0.997965517241379
2.0,0.25,0.997931034482759
2.0,0.5,0.998206896551724
2.0,1.0,0.998103448275862
2.0,2.0,0.998068965517241
2.0,4.0,0.997689655172414
2.0,8.0,0.996931034482759
2.0,16.0,0.996
2.0,32.0,0.995
2.0,64.0,0.991896551724138
2.0,128.0,0.985172413793103
2.0,256.0,0.972275862068966
2.0,512.0,0.954448275862069
2.0,1024.0,0.933965517241379
4.0,0.0009765625,0.973379310344828
4.0,0.001953125,0.979413793103448
4.0,0.00390625,0.990793103448276
4.0,0.0078125,0.996413793103448
4.0,0.015625,0.997
4.0,0.03125,0.997551724137931
4.0,0.0625,0.998068965517241
4.0,0.125,0.998344827586207
4.0,0.25,0.998
4.0,0.5,0.998206896551724
4.0,1.0,0.998103448275862
4.0,2.0,0.998275862068965
4.0,4.0,0.997793103448276
4.0,8.0,0.997
4.0,16.0,0.996034482758621
4.0,32.0,0.995
4.0,64.0,0.991931034482759
4.0,128.0,0.985172413793103
4.0,256.0,0.972275862068966
4.0,512.0,0.954448275862069
4.0,1024.0,0.933965517241379
8.0,0.0009765625,0.97648275862069
8.0,0.001953125,0.984310344827586
8.0,0.00390625,0.994793103448276
8.0,0.0078125,0.996862068965517
8.0,0.015625,0.997620689655172
8.0,0.03125,0.997896551724138
8.0,0.0625,0.998241379310345
8.0,0.125,0.99848275862069
8.0,0.25,0.998137931034483
8.0,0.5,0.998206896551724
8.0,1.0,0.998241379310345
8.0,2.0,0.998275862068965
8.0,4.0,0.997724137931034
8.0,8.0,0.997
8.0,16.0,0.996034482758621
8.0,32.0,0.995
8.0,64.0,0.991931034482759
8.0,128.0,0.985172413793103
8.0,256.0,0.972275862068966
8.0,512.0,0.954448275862069
8.0,1024.0,0.933965517241379
16.0,0.0009765625,0.980344827586207
16.0,0.001953125,0.991206896551724
16.0,0.00390625,0.996551724137931
16.0,0.0078125,0.997206896551724
16.0,0.015625,0.998068965517241
16.0,0.03125,0.998137931034483
16.0,0.0625,0.99848275862069
16.0,0.125,0.998724137931034
16.0,0.25,0.998241379310345
16.0,0.5,0.998241379310345
16.0,1.0,0.998310344827586
16.0,2.0,0.998275862068965
16.0,4.0,0.997758620689655
16.0,8.0,0.997
16.0,16.0,0.996034482758621
16.0,32.0,0.995
16.0,64.0,0.991931034482759
16.0,128.0,0.985172413793103
16.0,256.0,0.972275862068966
16.0,512.0,0.954448275862069
16.0,1024.0,0.933965517241379
32.0,0.0009765625,0.984344827586207
32.0,0.001953125,0.995344827586207
32.0,0.00390625,0.997068965517241
32.0,0.0078125,0.997793103448276
32.0,0.015625,0.998137931034483
32.0,0.03125,0.998310344827586
32.0,0.0625,0.998551724137931
32.0,0.125,0.998758620689655
32.0,0.25,0.998241379310345
32.0,0.5,0.998448275862069
32.0,1.0,0.998310344827586
32.0,2.0,0.998275862068965
32.0,4.0,0.997758620689655
32.0,8.0,0.997
32.0,16.0,0.996034482758621
32.0,32.0,0.995
32.0,64.0,0.991931034482759
32.0,128.0,0.985172413793103
32.0,256.0,0.972275862068966
32.0,512.0,0.954448275862069
32.0,1024.0,0.933965517241379
64.0,0.0009765625,0.991655172413793
64.0,0.001953125,0.996551724137931
64.0,0.00390625,0.997344827586207
64.0,0.0078125,0.997965517241379
64.0,0.015625,0.998310344827586
64.0,0.03125,0.998344827586207
64.0,0.0625,0.998793103448276
64.0,0.125,0.998827586206896
64.0,0.25,0.998344827586207
64.0,0.5,0.998379310344828
64.0,1.0,0.998241379310345
64.0,2.0,0.998275862068965
64.0,4.0,0.997758620689655
64.0,8.0,0.997
64.0,16.0,0.996034482758621
64.0,32.0,0.995
64.0,64.0,0.991931034482759
64.0,128.0,0.985172413793103
64.0,256.0,0.972275862068966
64.0,512.0,0.954448275862069
64.0,1024.0,0.933965517241379
128.0,0.0009765625,0.995379310344828
128.0,0.001953125,0.996965517241379
128.0,0.00390625,0.997793103448276
128.0,0.0078125,0.998137931034483
128.0,0.015625,0.998586206896552
128.0,0.03125,0.998689655172414
128.0,0.0625,0.998827586206896
128.0,0.125,0.998862068965517
128.0,0.25,0.998379310344828
128.0,0.5,0.998379310344828
128.0,1.0,0.998206896551724
128.0,2.0,0.998275862068965
128.0,4.0,0.997758620689655
128.0,8.0,0.997
128.0,16.0,0.996034482758621
128.0,32.0,0.995
128.0,64.0,0.991931034482759
128.0,128.0,0.985172413793103
128.0,256.0,0.972275862068966
128.0,512.0,0.954448275862069
128.0,1024.0,0.933965517241379
256.0,0.0009765625,0.996068965517241
256.0,0.001953125,0.997413793103448
256.0,0.00390625,0.998034482758621
256.0,0.0078125,0.998275862068965
256.0,0.015625,0.998689655172414
256.0,0.03125,0.998827586206896
256.0,0.0625,0.998862068965517
256.0,0.125,0.998896551724138
256.0,0.25,0.998413793103448
256.0,0.5,0.998310344827586
256.0,1.0,0.998206896551724
256.0,2.0,0.998275862068965
256.0,4.0,0.997758620689655
256.0,8.0,0.997
256.0,16.0,0.996034482758621
256.0,32.0,0.995
256.0,64.0,0.991931034482759
256.0,128.0,0.985172413793103
256.0,256.0,0.972275862068966
256.0,512.0,0.954448275862069
256.0,1024.0,0.933965517241379
512.0,0.0009765625,0.996344827586207
512.0,0.001953125,0.997827586206897
512.0,0.00390625,0.998206896551724
512.0,0.0078125,0.99848275862069
512.0,0.015625,0.998896551724138
512.0,0.03125,0.999
512.0,0.0625,0.998931034482759
512.0,0.125,0.998931034482759
512.0,0.25,0.998344827586207
512.0,0.5,0.998310344827586
512.0,1.0,0.998206896551724
512.0,2.0,0.998275862068965
512.0,4.0,0.997758620689655
512.0,8.0,0.997
512.0,16.0,0.996034482758621
512.0,32.0,0.995
512.0,64.0,0.991931034482759
512.0,128.0,0.985172413793103
512.0,256.0,0.972275862068966
512.0,512.0,0.954448275862069
512.0,1024.0,0.933965517241379
1024.0,0.0009765625,0.997034482758621
1024.0,0.001953125,0.998
1024.0,0.00390625,0.998379310344828
1024.0,0.0078125,0.998758620689655
1024.0,0.015625,0.999
1024.0,0.03125,0.998965517241379
1024.0,0.0625,0.999
1024.0,0.125,0.998931034482759
1024.0,0.25,0.998344827586207
1024.0,0.5,0.998310344827586
1024.0,1.0,0.998206896551724
1024.0,2.0,0.998275862068965
1024.0,4.0,0.997758620689655
1024.0,8.0,0.997
1024.0,16.0,0.996034482758621
1024.0,32.0,0.995
1024.0,64.0,0.991931034482759
1024.0,128.0,0.985172413793103
1024.0,256.0,0.972275862068966
1024.0,512.0,0.954448275862069
1024.0,1024.0,0.933965517241379
