name,sup,m1,m1_mol,m2,m2_mol,m3,m3_mol,react_temp,flow_vol,ar_vol,ch4_vol,o2_vol,contact,objective,default_features,procedure
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,15,2.3,10.9,1.8,0.5,5.97,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 15.0, 2.3, 10.9, 1.8, 0.5]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.9 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,20,3.0,14.6,2.4,0.38,5.02,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 20.0, 3.0, 14.6, 2.4, 0.38]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,10,4.0,4.0,2.0,0.75,5.66,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 10.0, 4.0, 4.0, 2.0, 0.75]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.0 mL/min, O2: 2.0 mL/min), leading to a contact time of 0.75 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,15,6.0,6.0,3.0,0.5,6.03,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 15.0, 6.0, 6.0, 3.0, 0.5]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.5 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,20,8.0,8.0,4.0,0.38,5.17,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 20.0, 8.0, 8.0, 4.0, 0.38]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 8.0 mL/min, O2: 4.0 mL/min), leading to a contact time of 0.38 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,10,4.0,4.5,1.5,0.75,5.85,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 10.0, 4.0, 4.5, 1.5, 0.75]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.5 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.75 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,15,6.0,6.8,2.3,0.5,6.25,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 15.0, 6.0, 6.8, 2.3, 0.5]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.8 mL/min, O2: 2.3 mL/min), leading to a contact time of 0.5 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,20,8.0,9.0,3.0,0.38,5.06,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 20.0, 8.0, 9.0, 3.0, 0.38]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 9.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.38 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,10,4.0,4.8,1.2,0.75,5.7,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 10.0, 4.0, 4.8, 1.2, 0.75]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.8 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s."
Mn-Na2WO4/BN,BN,Mn,40,Na,40,W,20,900,15,6.0,7.2,1.8,0.5,6.14,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 15.0, 6.0, 7.2, 1.8, 0.5]","To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 7.2 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s."
Mn-Na2WO4/MgO,MgO,Mn,40,Na,40,W,20,900,10,1.5,5.7,2.8,0.75,4.52,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 10.0, 1.5, 5.7, 2.8, 0.75]","To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 5.7 mL/min, O2: 2.8 mL/min), leading to a contact time of 0.75 s."
Mn-Na2WO4/MgO,MgO,Mn,40,Na,40,W,20,900,15,2.3,8.5,4.3,0.5,5.22,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 20.0, 900.0, 15.0, 2.3, 8.5, 4.3, 0.5]","To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 8.5 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.5 s."
